well,growth_rate,intercept,time_fit_start,time_fit end
A1,0.0365905355065,-5.3044957257,0.0,22.4447222222
A2,-0.0094092790611,-5.96042374901,0.0,22.4447222222
A3,0.00160053621371,-5.73992231876,0.0,22.4447222222
A4,0.739815712869,-7.51079122116,5.06,7.48
A5,0.628805097437,-6.4567802427,4.18,7.92
A6,0.227397615653,-4.32176172605,0.0,22.4447222222
B1,0.234705560378,-4.41863607568,0.0,22.4447222222
B2,0.238444312267,-4.46516370861,0.0,22.4447222222
B3,0.197096227875,-3.78982931796,0.0,22.4447222222
B4,0.232534232953,-4.57654245776,0.0,22.4447222222
B5,0.224016013978,-4.1822000922,0.0,22.4447222222
B6,0.202165298748,-3.88096991037,0.0,22.4447222222
C1,0.223171676646,-4.35642590071,0.0,22.4447222222
C2,0.229747243613,-4.34347594127,0.0,22.4447222222
C3,0.217281326048,-4.20138654731,0.0,22.4447222222
C4,0.204482209399,-4.02395961733,0.0,22.4447222222
C5,0.225592299493,-4.47608949435,0.0,22.4447222222
C6,0.209425227624,-4.21873257883,0.0,22.4447222222
D1,0.217582875278,-4.66927071477,0.0,22.4447222222
D2,0.210646415427,-4.55936721346,0.0,22.4447222222
D3,0.247543964145,-4.60181198057,0.0,22.4447222222
D4,0.22568657631,-4.44023374419,0.0,22.4447222222
D5,0.208442846717,-4.35425660758,0.0,22.4447222222
D6,0.246627199156,-4.70521092939,0.0,22.4447222222
